page_urls,mp3_urls
https://www.churchofjesuschrist.org/study/general-conference/2021/04/11nelson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1010-russell-m-nelson-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/12uchtdorf?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1020-dieter-f-uchtdorf-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/13jones?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1030-joy-d-jones-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/14newman?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1040-jan-e-newman-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/15stevenson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1050-gary-e-stevenson-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/16gong?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1060-gerrit-w-gong-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/17eyring?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-1070-henry-b-eyring-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/21oaks?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2010-sustaining-of-general-authorities-area-seventies-and-general-officers-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/22larson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2020-church-auditing-department-report-2020-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/23holland?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2030-jeffrey-r-holland-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/24becerra?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2040-jorge-t-becerra-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/25renlund?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2050-dale-g-renlund-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/26andersen?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2060-neil-l-andersen-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/27mutombo?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2070-thierry-k-mutombo-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/28ballard?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-2080-m-russell-ballard-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/31cook?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3010-quentin-l-cook-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/32corbitt?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3020-ahmad-s-corbitt-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/33nielsen?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3030-s-gifford-nielsen-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/34eyring?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3040-henry-b-eyring-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/35oaks?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3050-dallin-h-oaks-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/36nelson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-3060-russell-m-nelson-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/41soares?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4010-ulisses-soares-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/42aburto?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4020-reyna-isabel-aburto-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/43palmer?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4030-s-mark-palmer-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/44dube?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4040-edward-dube-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/45teixeira?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4050-jose-a-teixeira-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/46wakolo?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4060-taniela-b-wakolo-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/47wong?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4070-chi-hong-sam-wong-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/48teh?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4080-michael-john-u-teh-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/49nelson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-4090-russell-m-nelson-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/51oaks?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5010-dallin-h-oaks-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/52rasband?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5020-ronald-a-rasband-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/53dyches?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5030-timothy-j-dyches-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/54christofferson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5040-d-todd-christofferson-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/55walker?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5050-alan-r-walker-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/56bednar?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5060-david-a-bednar-32k-eng.mp3
https://www.churchofjesuschrist.org/study/general-conference/2021/04/57nelson?lang=eng,https://media2.ldscdn.org/assets/general-conference/april-2021-general-conference/2021-04-5070-russell-m-nelson-32k-eng.mp3
